[unsup] epoch 1/800  loss=19513.5990
[unsup] epoch 2/800  loss=19372.0601
[unsup] epoch 3/800  loss=19475.3736
[unsup] epoch 4/800  loss=18753.5976
[unsup] epoch 5/800  loss=18085.3753
[unsup] epoch 6/800  loss=16963.8835
[unsup] epoch 7/800  loss=16524.5915
[unsup] epoch 8/800  loss=15832.5686
[unsup] epoch 9/800  loss=15560.7312
[unsup] epoch 10/800  loss=15543.4775
[unsup] epoch 11/800  loss=15182.5893
[unsup] epoch 12/800  loss=14517.5713
[unsup] epoch 13/800  loss=14387.9468
[unsup] epoch 14/800  loss=14754.6713
[unsup] epoch 15/800  loss=14617.3988
[unsup] epoch 16/800  loss=13714.7368
[unsup] epoch 17/800  loss=13571.1912
[unsup] epoch 18/800  loss=13983.4601
[unsup] epoch 19/800  loss=13224.9087
[unsup] epoch 20/800  loss=12889.1941
[unsup] epoch 21/800  loss=12771.7299
[unsup] epoch 22/800  loss=12990.7362
[unsup] epoch 23/800  loss=12770.5446
[unsup] epoch 24/800  loss=12510.2819
[unsup] epoch 25/800  loss=12758.5404
[unsup] epoch 26/800  loss=12715.8419
[unsup] epoch 27/800  loss=12597.0572
[unsup] epoch 28/800  loss=12612.8952
[unsup] epoch 29/800  loss=11842.7219
[unsup] epoch 30/800  loss=11873.7299
[unsup] epoch 31/800  loss=12159.2172
[unsup] epoch 32/800  loss=11627.1823
[unsup] epoch 33/800  loss=11744.2647
[unsup] epoch 34/800  loss=12247.1983
[unsup] epoch 35/800  loss=12410.0433
[unsup] epoch 36/800  loss=11654.7921
[unsup] epoch 37/800  loss=11487.5857
[unsup] epoch 38/800  loss=11680.3019
[unsup] epoch 39/800  loss=11822.6526
[unsup] epoch 40/800  loss=11558.1839
[unsup] epoch 41/800  loss=11428.9601
[unsup] epoch 42/800  loss=11420.1488
[unsup] epoch 43/800  loss=11152.7626
[unsup] epoch 44/800  loss=11600.2257
[unsup] epoch 45/800  loss=11302.5932
